"Address","Content Type","Status Code","Status","Indexability","Indexability Status"
"https://irishealing.com/packing-list/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://irishealing.com/simple-behavioral-rehab-coverage/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://irishealing.com/insurance-coverage/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://irishealing.com/residential-rehab-in-los-angeles/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://irishealing.com/blog/how-to-taper-off-xanax/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://irishealing.com/los-angeles-treatment-center/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected"
"https://irishealing.com/addiction-treatment/cocaine-rehab-los-angeles/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://irishealing.com/mental-health-treatment-los-angeles/bipolar/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://irishealing.com/html-sitemap/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://irishealing.com/neurofeedback-therapy/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected"
"https://irishealing.com/detox-center-in-woodland-hills/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://irishealing.com/a-day-at-iris/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://irishealing.com/detox-center-in-los-angeles/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://irishealing.com/videos/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://irishealing.com/about/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://irishealing.com/iris-healing-team/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://irishealing.com/detox-in-los-angeles/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://irishealing.com/dual-diagnosis-treatment-los-angeles/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected"
"https://irishealing.com/addiction-treatment/opioid-rehab-los-angeles/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://irishealing.com/therapy/hypnotherapy/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://irishealing.com/insurance-verification/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected"
"https://irishealing.com/blog/category/alcohol-addiction/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://irishealing.com/addiction-treatment/alcohol-rehab-los-angeles/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://irishealing.com/therapy/yoga-for-addiction/","text/html; charset=UTF-8","200","OK","Indexable",""
