"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://irishealing.com/mental-health-treatment-los-angeles/anxiety-treatment/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","5","0.517","https://irishealing.com/mental-health-treatment-los-angeles/anxiety/","HTTP Redirect"
"https://irishealing.com/mental-health-treatment-los-angeles/bipolar-treatment/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","3","0.458","https://irishealing.com/mental-health-treatment-los-angeles/bipolar/","HTTP Redirect"
"https://irishealing.com/detox-los-angeles/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","12","0.316","https://irishealing.com/detox-in-los-angeles/","HTTP Redirect"
"https://irishealing.com/programs/iop-los-angeles/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","6","0.343","https://irishealing.com/intensive-outpatient-program-los-angeles/","HTTP Redirect"
"https://irishealing.com/iris-healing-virtual-tour-video/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","6","0.384","https://irishealing.com/tour/","HTTP Redirect"
"https://irishealing.com/neurofeedback-therapy-in-los-angeles-improve-your-brain/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","7","0.450","https://irishealing.com/blog/neurofeedback-therapy-in-los-angeles-improve-your-brain","HTTP Redirect"
"https://pubmed.ncbi.nlm.nih.gov/14670518/","text/html; charset=iso-8859-1","302","Found","Non-Indexable","Redirected","2","0.180","https://misuse.ncbi.nlm.nih.gov/error/abuse.shtml","HTTP Redirect"
"https://irishealing.com/iris-healing-retreat-accredited-joint-commission/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","3","0.499","https://irishealing.com/blog/iris-healing-retreat-accredited-joint-commission","HTTP Redirect"
"https://irishealing.com/brainspotting-exercises/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","1","0.528","https://irishealing.com/blog/risks-side-effects-of-brainspotting/","HTTP Redirect"
"https://irishealing.com/residential-treatment/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","41","0.481","https://irishealing.com/residential-rehab-in-los-angeles/","HTTP Redirect"
"https://irishealing.com/our-programs/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","15","0.487","https://irishealing.com/programs/","HTTP Redirect"
"https://irishealing.com/detox-start-healing/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","32","0.360","https://irishealing.com/detox-in-los-angeles/","HTTP Redirect"
"https://irishealing.com/wellness-retreats-for-depression-after-divorce/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","8","0.425","https://irishealing.com/blog/wellness-retreats-for-depression-after-divorce","HTTP Redirect"
"https://irishealing.com/sound-bath-meditation/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","9","0.374","https://irishealing.com/","HTTP Redirect"
"https://irishealing.com/spiritual-counseling/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","11","0.529","https://irishealing.com/therapy/spiritual-counseling/","HTTP Redirect"
"https://irishealing.com/yoga-therapy/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","26","0.506","https://irishealing.com/therapy/yoga-for-addiction/","HTTP Redirect"
"https://irishealing.com/about/low-glycemic-diet/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","8","0.455","https://transferirishe.wpenginepowered.com/nutritional-therapy/","HTTP Redirect"
