"Address","Content Type","Size (bytes)","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://irishealing.com/wp-content/uploads/2022/12/image-43-1-1.webp","image/webp","1428","477","Indexable","",""
"https://irishealing.com/wp-content/uploads/2022/12/jcaho_seal.webp","image/webp","7050","477","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/jcaho_seal-1.png","image/png","7299","476","Indexable","",""
"https://irishealing.com/wp-content/uploads/2022/12/4794370.png","image/png","10987","477","Indexable","",""
"https://irishealing.com/wp-content/uploads/2022/12/psychology-today-logo.png","image/png","21327","477","Indexable","",""
