"Address","Content Type","Size (bytes)","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://irishealing.com/wp-content/uploads/2024/08/first-health-1.png","image/png","7911","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/4794370.png","image/png","10412","3","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/anthem-1.png","image/png","7350","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/com-psych.png","image/png","3574","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2026/02/supportive-care-alcohol-withdrawal-recovery.jpg","image/jpeg","44218","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Spiritual-Counseling-1.jpg","image/jpeg","515553","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Nutritional-Therapy-4-1024x636.webp","image/webp","53586","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Nutritional-Therapy-3.png","image/png","890496","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Nutritional-Therapy-2.jpg","image/jpeg","89575","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2025/08/Untitled-design-4.webp","image/webp","119178","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Medication-Assisted-Treatment-4.png","image/png","333420","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Medication-Assisted-Treatment-5.jpg","image/jpeg","94327","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Depression-Treatment-in-Los-Angeles-1.png","image/png","183891","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Depression-Treatment-in-Los-Angeles-3.png","image/png","122228","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Depression-Treatment-in-Los-Angeles-5.png","image/png","144910","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Dr.-Neda-Javaherian-MD.webp","image/webp","3810","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Depression-Treatment-in-Los-Angeles-8-1024x697.jpg","image/jpeg","67618","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Depression-Treatment-in-Los-Angeles-4.png","image/png","184269","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-10.png","image/png","2729114","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-28.png","image/png","1018320","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-15.png","image/png","1455444","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-8.png","image/png","2270313","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-4-1.png","image/png","1345636","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-1-1.png","image/png","1784151","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-19.png","image/png","1472361","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-22.png","image/png","2528365","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-27.png","image/png","2820147","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-2-1.png","image/png","1606400","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-14.png","image/png","1564089","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-7.png","image/png","3751123","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-23.webp","image/webp","12398","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-18.png","image/png","1571679","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-21.png","image/png","2698909","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-12.png","image/png","1447394","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-13.png","image/png","1499324","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-6.png","image/png","3179787","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-17.png","image/png","1904942","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-5-1.png","image/png","3069041","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-30.png","image/png","878406","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-24.jpg","image/jpeg","280202","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-3-1.png","image/png","3128607","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-9.png","image/png","2703932","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-16.png","image/png","1485138","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-25.png","image/png","2704694","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-11.png","image/png","2897003","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-20.png","image/png","2577076","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/tour-29.png","image/png","1723208","0","Indexable","",""
"https://irishealing.com/wp-content/uploads/2026/01/Someone-working-while-attending-an-outpatient-meeting-500x360.png","image/png","81746","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2026/02/alcohol-recovery-paws-healing-process-500x360.png","image/png","180368","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2026/02/supportive-care-alcohol-withdrawal-recovery-500x360.jpg","image/jpeg","25741","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2026/01/mental-health-journey-500x360.jpg","image/jpeg","32601","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2026/01/thinking-about-the-halt-acronym-500x360.png","image/png","213153","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Program-5-01-01-500x360.jpg","image/jpeg","22831","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2026/01/mental-health-relapse-500x360.jpg","image/jpeg","26398","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2026/01/talking-to-therapist-500x360.jpg","image/jpeg","21532","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2025/12/person-working-in-office-500x360.png","image/png","76141","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2026/02/medical-supervised-alcohol-detox-support-500x360.jpg","image/jpeg","27300","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2026/01/IOP-treatment-with-two-women-500x360.png","image/png","225158","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2026/02/safe-medical-consultation-tapering-500x360.png","image/png","193542","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/banner-bottom.webp","image/webp","138284","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/TMS-Therapy-7.webp","image/webp","119756","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/TMS-Therapy-8-01-scaled.jpg","image/jpeg","431507","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/AdobeStock_213605228-min-1-scaled.jpeg","image/jpeg","390980","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Sound-Bath-Meditation.jpeg","image/jpeg","307234","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Program-0-01-scaled.jpg","image/jpeg","284802","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Program-3-01.jpg","image/jpeg","237968","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Program-5-01.jpg","image/jpeg","476995","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Program-8.jpg","image/jpeg","233876","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/verify-insurance-5-01.jpg","image/jpeg","294164","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/verify-insurance-7-01.jpg","image/jpeg","125512","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Tour-4-01-600x540.jpg","image/jpeg","75171","2","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/Art-Therapy-1.jpg","image/jpeg","1048786","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2024/08/AdobeStock_228946093-min-scaled.jpeg","image/jpeg","291733","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2026/02/safe-medical-consultation-tapering-175x175.png","image/png","32595","12","Indexable","",""
"https://irishealing.com/wp-content/uploads/2026/02/medical-supervised-alcohol-detox-support-175x175.jpg","image/jpeg","6983","12","Indexable","",""
"https://irishealing.com/wp-content/plugins/boliin-themer/elementor/assets/images/icon-heading.png","image/png","827","13","Indexable","",""
"https://irishealing.com/wp-content/uploads/2026/02/supportive-care-alcohol-withdrawal-recovery-175x175.jpg","image/jpeg","6563","12","Indexable","",""
"https://irishealing.com/wp-content/uploads/2025/05/Woodland-Hills-1.webp","image/webp","75470","1","Indexable","",""
"https://irishealing.com/wp-content/uploads/2021/04/AdobeStock_250064219-min-scaled.jpeg","image/jpeg","376238","2","Indexable","",""
